,a,b
astropy__astropy-12907,1.921731865617068,-0.7770414352416992
astropy__astropy-13033,1.1389973084608769,5.262188911437988
astropy__astropy-13236,0.5777653616426424,4.497326850891113
astropy__astropy-13398,1.7532334112789227,5.2764177322387695
astropy__astropy-13453,1.555252162456362,-0.0697794035077095
astropy__astropy-13579,2.02246095881968,-0.9637231826782227
astropy__astropy-13977,1.6422439848750987,5.2865166664123535
astropy__astropy-14096,1.017316757486899,-1.006667137145996
astropy__astropy-14182,1.3122946451733997,3.353109359741211
astropy__astropy-14309,1.1227911221650846,-3.807506799697876
astropy__astropy-14365,1.4342012885213924,2.6176857948303223
astropy__astropy-14369,1.431512997980932,1.9803497791290283
astropy__astropy-14508,1.7901881924257015,-0.27761468291282654
astropy__astropy-14539,1.4951819063498777,-1.30504310131073
astropy__astropy-14598,1.0042713448200027,3.7950801849365234
astropy__astropy-14995,1.5654674824285024,-2.1837992668151855
astropy__astropy-7166,0.9253138636440691,-1.8513764142990112
astropy__astropy-7336,0.9686528983757703,-3.498389720916748
astropy__astropy-7606,0.5190342933453005,6.26614236831665
astropy__astropy-7671,0.6564469092644417,-3.2060208320617676
astropy__astropy-8707,0.5966877371489173,4.996005535125732
astropy__astropy-8872,0.7263917208931722,4.817831993103027
django__django-10097,0.49201789158769693,1.6640820503234863
django__django-10554,1.7404252524321107,5.317408561706543
django__django-10880,1.308552525425583,-1.4724162817001343
django__django-10914,1.1653926477911558,-2.728720188140869
django__django-10973,1.0248367765003115,-1.9378159046173096
django__django-10999,1.4855071288373893,5.317017078399658
django__django-11066,1.403881511638948,-4.178528785705566
django__django-11087,1.7882063118601765,5.371923446655273
django__django-11095,2.3101069073291254,-2.2952358722686768
django__django-11099,1.1527622246212428,-3.9702250957489014
django__django-11119,0.9485483714993257,-3.932681083679199
django__django-11133,0.9523760242502255,-3.482600688934326
django__django-11138,1.6419203098599018,2.3949661254882812
django__django-11141,0.8841190982093873,2.7230496406555176
django__django-11149,1.1521393823514905,1.469435453414917
django__django-11163,1.1023918237059038,-3.5191538333892822
django__django-11179,1.8471206658770758,-2.0918798446655273
django__django-11206,0.5896373835221334,1.2510275840759277
django__django-11211,1.7155124368776675,-0.6063480973243713
django__django-11239,1.2792086112003325,0.632518470287323
django__django-11265,0.7223018393531989,1.9164605140686035
django__django-11276,0.6564617582369797,-1.943549394607544
django__django-11292,1.9434832995189184,-1.5197348594665527
django__django-11299,1.729513848908565,-0.06008966639637947
django__django-11333,1.7432636419959644,0.27216222882270813
django__django-11400,1.8286076766765362,5.474797248840332
django__django-11433,1.4795498825781228,2.201382875442505
django__django-11451,0.8856636556452344,-2.018632411956787
django__django-11477,0.8476895732258652,5.383991718292236
django__django-11490,1.1651122254201207,0.852824330329895
django__django-11532,0.500409829639824,0.9873342514038086
django__django-11551,1.4353540901669026,-2.463383674621582
django__django-11555,1.08615771545972,0.5302227139472961
django__django-11603,1.2024810555011372,-3.3169126510620117
django__django-11728,1.099524257663746,2.895214796066284
django__django-11734,1.3163829294663465,3.743959426879883
django__django-11740,1.6640660779452427,-0.23480041325092316
django__django-11749,1.1324616435867565,-1.2580026388168335
django__django-11790,0.27734326578146407,4.388110637664795
django__django-11815,0.7079418862294379,-1.0355595350265503
django__django-11820,1.4429694708621386,4.478906631469727
django__django-11848,0.4402019095838048,2.064138650894165
django__django-11880,1.5112859137844143,-2.854905843734741
django__django-11885,1.578105955174158,2.906052827835083
django__django-11951,1.13463010339769,-1.815656065940857
django__django-11964,0.536952745390072,2.417586326599121
django__django-11999,0.9973191984352576,-2.221611499786377
django__django-12039,1.0308584288907696,-0.24522747099399567
django__django-12050,1.529941074987166,-2.2262463569641113
django__django-12125,0.7690104211344784,0.1990937441587448
django__django-12143,1.1454879294546187,-3.2711105346679688
django__django-12155,0.7587687261676498,-4.275707721710205
django__django-12193,0.3305584636691823,-0.06539877504110336
django__django-12209,1.223576300976697,-1.9982801675796509
django__django-12262,1.145922198456146,-0.7037855386734009
django__django-12273,0.8359433590075079,3.113971471786499
django__django-12276,0.9676349343886301,-2.195312976837158
django__django-12304,1.8116767991261196,-0.6164298057556152
django__django-12308,0.49552364243137087,3.395331859588623
django__django-12325,0.5054438474831946,4.041969299316406
